Date                Description                        Employee      Agency 1%     Agency        Total         
6/1/2003            Beginning Balance                  18170.31      2012.92       8690.43       28873.66      
6/6/2003            Contribution                       264.38        22.03         88.13         374.54        
6/6/2003            Loan Repayment                     107.00        0.00          0.00          107.00        
6/20/2003           Contribution                       264.38        22.03         88.13         374.54        
6/20/2003           Loan Repayment                     107.00        0.00          0.00          107.00        
7/7/2003            Contribution                       264.38        22.03         88.13         374.54        
7/7/2003            Loan Repayment                     107.00        0.00          0.00          107.00        
7/18/2003           Contribution                       264.38        22.03         88.13         374.54        
7/18/2003           Loan Repayment                     107.00        0.00          0.00          107.00        
8/1/2003            Contribution                       264.38        22.03         88.13         374.54        
8/1/2003            Loan Repayment                     107.00        0.00          0.00          107.00        
8/15/2003           Contribution                       264.38        22.03         88.13         374.54        
8/15/2003           Loan Repayment                     107.00        0.00          0.00          107.00        
8/29/2003           Loan Repayment                     107.00        0.00          0.00          107.00        
9/2/2003            Contribution                       264.38        22.03         88.13         374.54        
9/12/2003           Contribution                       264.38        22.03         88.13         374.54        
9/12/2003           Loan Repayment                     107.00        0.00          0.00          107.00        
9/26/2003           Contribution                       264.38        22.03         88.13         374.54        
9/26/2003           Loan Repayment                     107.00        0.00          0.00          107.00        
10/10/2003          Contribution                       264.38        22.03         88.13         374.54        
10/10/2003          Loan Repayment                     107.00        0.00          0.00          107.00        
10/24/2003          Contribution                       264.38        22.03         88.13         374.54        
10/24/2003          Loan Repayment                     107.00        0.00          0.00          107.00        
11/7/2003           Contribution                       264.38        22.03         88.13         374.54        
11/7/2003           Loan Repayment                     107.00        0.00          0.00          107.00        
11/21/2003          Contribution                       264.38        22.03         88.13         374.54        
11/21/2003          Loan Repayment                     107.00        0.00          0.00          107.00        
12/5/2003           Contribution                       264.38        22.03         88.13         374.54        
12/5/2003           Loan Repayment                     107.00        0.00          0.00          107.00        
12/19/2003          Contribution                       264.38        22.03         88.13         374.54        
12/19/2003          Loan Repayment                     107.00        0.00          0.00          107.00        
1/2/2004            Contribution                       264.38        22.03         88.13         374.54        
1/2/2004            Loan Repayment                     107.00        0.00          0.00          107.00        
1/7/2004            Loan Disbursement                  -17500.00     0.00          0.00          -17500.00     
1/16/2004           Contribution                       264.38        22.03         88.13         374.54        
1/16/2004           Loan Repayment                     107.00        0.00          0.00          107.00        
1/16/2004           Loan Repayment                     150.47        0.00          0.00          150.47        
1/30/2004           Contribution                       289.92        24.16         96.64         410.72        
1/30/2004           Loan Repayment                     107.00        0.00          0.00          107.00        
1/30/2004           Loan Repayment                     150.47        0.00          0.00          150.47        
2/13/2004           Contribution                       289.92        24.16         96.64         410.72        
2/13/2004           Loan Repayment                     107.00        0.00          0.00          107.00        
2/13/2004           Loan Repayment                     150.47        0.00          0.00          150.47        
2/27/2004           Contribution                       289.92        24.16         96.64         410.72        
2/27/2004           Loan Repayment                     107.00        0.00          0.00          107.00        
2/27/2004           Loan Repayment                     150.47        0.00          0.00          150.47        
3/12/2004           Contribution                       289.92        24.16         96.64         410.72        
3/12/2004           Loan Repayment                     107.00        0.00          0.00          107.00        
3/12/2004           Loan Repayment                     150.47        0.00          0.00          150.47        
3/26/2004           Contribution                       289.92        24.16         96.64         410.72        
3/26/2004           Loan Repayment                     107.00        0.00          0.00          107.00        
3/26/2004           Loan Repayment                     150.47        0.00          0.00          150.47        
4/12/2004           Contribution                       293.28        24.44         97.76         415.48        
4/12/2004           Contribution                       16.80         1.40          5.60          23.80         
4/12/2004           Loan Repayment                     107.00        0.00          0.00          107.00        
4/12/2004           Loan Repayment                     150.47        0.00          0.00          150.47        
4/23/2004           Contribution                       293.28        24.44         97.76         415.48        
4/23/2004           Loan Repayment                     107.00        0.00          0.00          107.00        
4/23/2004           Loan Repayment                     150.47        0.00          0.00          150.47        
